Station_name,Stn_id,Lat,Lon,Month,Temperature,Season
BRISBANE-AERO,40842,-27.39,153.12,January,29.75,Summer
BROOME-AIRPORT,3003,-17.95,122.23,January,35.61,Summer
BUNDABERG-AERO,39128,-24.91,152.32,January,31.65,Summer
BURKETOWN-AIRPORT,29077,-17.75,139.54,January,35.06,Summer
BUTLERS-GORGE,96003,-42.28,146.28,January,19.12,Summer
CABRAMURRA-SMHEA-AWS,72161,-35.94,148.38,January,21.43,Summer
CAIRNS-AERO,31011,-16.87,145.75,January,33.04,Summer
CAMOOWEAL-TOWNSHIP,37010,-19.92,138.12,January,38.91,Summer
CANBERRA-AIRPORT,70351,-35.31,149.2,January,31.44,Summer
CAPE-BORDA,22823,-35.75,136.6,January,24.43,Summer
CAPE-BRUNY-LIGHTHOUSE,94010,-43.49,147.15,January,19.42,Summer
CAPE-LEEUWIN,9518,-34.37,115.14,January,23.86,Summer
CAPE-MORETON-LIGHTHOUSE,40043,-27.03,153.47,January,30.62,Summer
CAPE-OTWAY-LIGHTHOUSE,90015,-38.86,143.51,January,21.7,Summer
CARNARVON-AIRPORT,6011,-24.89,113.67,January,32.68,Summer
CEDUNA-AMO,18012,-32.13,133.7,January,29.66,Summer
CHARLEVILLE-AERO,44021,-26.41,146.26,January,39.73,Summer
CHARTERS-TOWERS-AIRPORT,34084,-20.05,146.27,January,36.48,Summer
COBAR-MO,48027,-31.48,145.83,January,38.75,Summer
COFFS-HARBOUR-MO,59040,-30.31,153.12,January,28.64,Summer
CUNDERDIN-AIRFIELD,10286,-31.62,117.22,January,36.49,Summer
DALWALLINU-COMPARISON,8039,-30.28,116.66,January,38.02,Summer
DARWIN-AIRPORT,14015,-12.42,130.89,January,33.05,Summer
DENILIQUIN-AIRPORT-AWS,74258,-35.56,144.95,January,33.82,Summer
DUBBO-AIRPORT-AWS,65070,-32.22,148.58,January,34.0,Summer
